EDH,TM_ID,EDCS
"040116","206130","13003475"
"040117","206131","09800906"
"040119","206133","09800908"
"040121","206134","09800909"
"040122","206135","09800910"
"040125","206137","09800912"
"040126","206138","09800913"
"040127","206139","09800914"
"040128","206140","13003476"
"040130","206141","09800915"
"040131","206142","09800916"
"040134","206144","09800918"
"040135","206145","09800919"
"040139","220352","13003477"
"040146","220353","09800921"
"040147","206147","09800922"
"040148","206148","09800923"
"040149","206149","09800924"
"040150","206150","09800925"
"040151","206151","09800926"
"040163","206152","09800927"
"040164","206153","09800928"
"040165","206154","09800929"
"040166","206155","09800930"
"040167","206156","09800931"
"040168","206157","09800932"
"040169","206158","13003478"
"040170","206159","09800933"
"040171","206160",""
"040172","206161","09800934"
"040173","206162","09800935"
"040174","206163","09800936"
"040175","206164","09800937"
"040177","206165","09800938"
"040178","206166","09800939"
"040179","206167","09800940"
"040180","206168","28000970"
"040181","206169","09800941"
"040182","206170","09800942"
"040184","206171","09800943"
"040185","206172","13003547"
"040187","206173","09800944"
"040188","206174","09800945"
"040189","206175","09800946"
"040190","206176","09800947"
"040191","206177","09800948"
"040192","206178","09800949"
"040194","206179","09800950"
"040195","206180","09800951"
"040198","206181","09800952"
"040200","206182","09800953"
"040202","206184","09800955"
"040203","206185","09800956"
"040206","206188","09800959"
"040209","206190","09800961"
"040210","206191","09800962"
"040213","206193","09800964"
"040214","206194","09800965"
"040217","206196","09800967"
"040218","206197","09800968"
"040220","206198","09800969"
"040221","206199","09800970"
"040226","206202","09800973"
"040228","206204","09800974"
"040229","206205","09800975"
"040230","206206","09800976"
"040231","206207","09800977"
"040233","206209","09800979"
"040234","206210","09800980"
"040235","206211","09800981"
"040237","206212","09800982"
"040238","206213","13003479"
"040240","206214","09800983"
"040241","206215","09800984"
"040242","206216","09800985"
"040243","206217","09800986"
"040244","206218","13003480"
"040245","206219","09800987"
"040246","206220","09800988"
"040247","206221","09800989"
"040248","206222","09800990"
"040249","206223","09800991"
"040250","206224","09800992"
"040251","206225","09800993"
"040252","206226","09800994"
"040254","206228","09800996"
"040281","206230","09800997"
"040284","206232","09800999"
"040285","206233","09801000"
"040287","206234","09801001"
"040290","206235","09801002"
"040291","206236","09801003"
"040293","206238","09801005"
"040294","206239","09801006"
"040297","206241","09801008"
"040298","206242","09801009"
"040299","206243","09801010"
"040300","206244","09801011"
"040301","206245","09801012"
"040305","206248","09801015"
"040308","206251","09801018"
